Review ID,Date Posted,Star Rating,Failure Category,Specific Complaint,Verified Purchase,Helpful Votes,Is Wobble or Motor (1 or 0),Is High Severity (1 or 0),Is Verified (1 or 0),Severity
REV-036,2026-01-21,1,Wobbles or unstable at height,Significant wobble when desk is raised above 40 inches,Yes,0,1,1,1,High
REV-078,2026-01-21,2,Wobbles or unstable at height,Wobble is bad enough that my monitor shakes while I type,No,0,1,1,0,High
REV-061,2026-01-27,1,Motor failure or stopped working,"One motor moves faster than the other, desk is crooked",Yes,2,1,1,1,High
REV-107,2026-02-09,2,Wobbles or unstable at height,Table top vibrates when typing at standing position,Yes,20,1,1,1,High
REV-091,2026-02-12,1,Wobbles or unstable at height,Wobble is bad enough that my monitor shakes while I type,Yes,1,1,1,1,High
REV-027,2026-02-18,2,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,4,1,1,1,High
REV-100,2026-02-22,2,Wobbles or unstable at height,"Desk shakes noticeably at standing height, makes typing uncomfortable",No,0,1,1,0,High
REV-103,2026-02-26,1,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,5,1,1,1,High
REV-028,2026-03-03,3,Assembly instructions unclear,"Instructions are a single poorly printed sheet, impossible to follow",Yes,0,0,0,1,Medium
REV-106,2026-03-14,2,Motor failure or stopped working,Control panel stopped responding after 2 months,Yes,23,1,1,1,High
REV-029,2026-03-21,1,Wobbles or unstable at height,"Feels unsafe at maximum height, wobbles side to side",Yes,0,1,1,1,High
REV-115,2026-03-22,2,Wobbles or unstable at height,"Desk shakes noticeably at standing height, makes typing uncomfortable",Yes,27,1,1,1,High
REV-087,2026-04-04,3,Customer service issue,Contacted support 3 times with no response,Yes,1,0,0,1,Low
REV-031,2026-04-08,2,Wobbles or unstable at height,"Noticeable sway at standing height, unusable for me",Yes,6,1,1,1,High
REV-077,2026-04-15,1,Damaged on arrival,Packaging was destroyed and desk surface was damaged,Yes,0,0,0,1,Medium
REV-009,2026-04-20,1,Motor failure or stopped working,"One motor moves faster than the other, desk is crooked",Yes,4,1,1,1,High
REV-085,2026-04-21,1,Motor failure or stopped working,Control panel stopped responding after 2 months,Yes,74,1,1,1,High
