Review ID,Date Posted,Star Rating,Failure Category,Specific Complaint,Verified Purchase,Helpful Votes
REV-012,2025-12-25,3,Wobbles or unstable at height,Significant wobble when desk is raised above 40 inches,Yes,18
REV-095,2025-12-28,3,Assembly instructions unclear,"Diagrams are too small to see clearly, very confusing",Yes,14
REV-094,2025-12-30,2,Poor material quality,Frame paint started chipping after one month,Yes,0
REV-023,2026-01-01,1,Motor failure or stopped working,Height memory buttons stopped working after first month,Yes,0
REV-066,2026-01-03,1,Motor failure or stopped working,Motor stopped working after 3 weeks of use,Yes,10
REV-008,2026-01-04,1,Wobbles or unstable at height,"Unstable at higher settings, whole desk sways",Yes,0
REV-080,2026-01-08,1,Wobbles or unstable at height,Significant wobble when desk is raised above 40 inches,Yes,1
REV-104,2026-01-13,2,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,0
REV-045,2026-01-15,1,Wobbles or unstable at height,"Feels unsafe at maximum height, wobbles side to side",Yes,4
REV-036,2026-01-21,1,Wobbles or unstable at height,Significant wobble when desk is raised above 40 inches,Yes,0
REV-078,2026-01-21,2,Wobbles or unstable at height,Wobble is bad enough that my monitor shakes while I type,No,0
REV-061,2026-01-27,1,Motor failure or stopped working,"One motor moves faster than the other, desk is crooked",Yes,2
REV-107,2026-02-09,2,Wobbles or unstable at height,Table top vibrates when typing at standing position,Yes,20
REV-091,2026-02-12,1,Wobbles or unstable at height,Wobble is bad enough that my monitor shakes while I type,Yes,1
REV-027,2026-02-18,2,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,4
REV-100,2026-02-22,2,Wobbles or unstable at height,"Desk shakes noticeably at standing height, makes typing uncomfortable",No,0
REV-103,2026-02-26,1,Motor failure or stopped working,"Motor failed completely, desk stuck at sitting height",Yes,5
REV-028,2026-03-03,3,Assembly instructions unclear,"Instructions are a single poorly printed sheet, impossible to follow",Yes,0
REV-106,2026-03-14,2,Motor failure or stopped working,Control panel stopped responding after 2 months,Yes,23
REV-029,2026-03-21,1,Wobbles or unstable at height,"Feels unsafe at maximum height, wobbles side to side",Yes,0
REV-115,2026-03-22,2,Wobbles or unstable at height,"Desk shakes noticeably at standing height, makes typing uncomfortable",Yes,27
REV-087,2026-04-04,3,Customer service issue,Contacted support 3 times with no response,Yes,1
REV-031,2026-04-08,2,Wobbles or unstable at height,"Noticeable sway at standing height, unusable for me",Yes,6
REV-077,2026-04-15,1,Damaged on arrival,Packaging was destroyed and desk surface was damaged,Yes,0
REV-009,2026-04-20,1,Motor failure or stopped working,"One motor moves faster than the other, desk is crooked",Yes,4
REV-085,2026-04-21,1,Motor failure or stopped working,Control panel stopped responding after 2 months,Yes,74
